Status,PUID,Name,Version,Score
ADEQUATE,fmt/1,Broadcast WAVE,0,7
ADEQUATE,fmt/10,Tagged Image File Format,6,7
ADEQUATE,fmt/100,Hypertext Markup Language,4.01,7
ADEQUATE,fmt/101,Extensible Markup Language,1.0,7
ADEQUATE,fmt/102,Extensible Hypertext Markup Language,1.0,7
ADEQUATE,fmt/103,Extensible Hypertext Markup Language,1.1,7
STUB,fmt/104,Macromedia Flash,1,5
STUB,fmt/105,Macromedia Flash,2,5
STUB,fmt/106,Macromedia Flash,3,5
STUB,fmt/107,Macromedia Flash,4,5
STUB,fmt/108,Macromedia Flash,5,5
STUB,fmt/109,Macromedia Flash,6,5
STUB,fmt/11,Portable Network Graphics,1.0,5
STUB,fmt/110,Macromedia Flash,7,5
ADEQUATE,fmt/111,OLE2 Compound Document Format,[?],7
STUB,fmt/112,Still Picture Interchange File Format,1.0,5
INCOMPLETE,fmt/113,Still Picture Interchange File Format,2.0,0
STUB,fmt/114,Windows Bitmap,1.0,5
STUB,fmt/115,Windows Bitmap,2.0,5
STUB,fmt/116,Windows Bitmap,3.0,5
STUB,fmt/117,Windows Bitmap,3.0 NT,5
STUB,fmt/118,Windows Bitmap,4.0,5
STUB,fmt/119,Windows Bitmap,5.0,5
STUB,fmt/12,Portable Network Graphics,1.1,5
ADEQUATE,fmt/120,DROID File Collection File Format,1.0,7
ADEQUATE,fmt/121,DROID Signature File Format,1.0,7
ADEQUATE,fmt/122,Encapsulated PostScript File Format,1.2,7
ADEQUATE,fmt/123,Encapsulated PostScript File Format,2.0,7
ADEQUATE,fmt/124,Encapsulated PostScript File Format,3.0,7
ADEQUATE,fmt/125,Microsoft Powerpoint Presentation,95,7
ADEQUATE,fmt/126,Microsoft Powerpoint Presentation,97-2002,7
STUB,fmt/127,OpenOffice Draw,1.0,5
STUB,fmt/128,OpenOffice Writer,1.0,5
STUB,fmt/129,OpenOffice Calc,1.0,5
STUB,fmt/13,Portable Network Graphics,1.2,5
STUB,fmt/130,OpenOffice Impress,1.0,5
ADEQUATE,fmt/131,Advanced Systems Format,[?],7
ADEQUATE,fmt/132,Windows Media Audio,[?],7
ADEQUATE,fmt/133,Windows Media Video,[?],7
STUB,fmt/134,MPEG 1/2 Audio Layer 3 - fido update,[?],5
ADEQUATE,fmt/135,OpenDocument Format,1.0,7
ADEQUATE,fmt/136,OpenDocument Text,1.0,7
ADEQUATE,fmt/137,OpenDocument Spreadsheet,1.0,7
ADEQUATE,fmt/138,OpenDocument Presentation,1.0,7
ADEQUATE,fmt/139,OpenDocument Graphics,1.0,7
STUB,fmt/14,Acrobat PDF 1.0 - Portable Document Format,1.0,5
STUB,fmt/140,OpenDocument Database Format,1.0,5
INCOMPLETE,fmt/141,Waveform Audio (PCMWAVEFORMAT),[?],0
INCOMPLETE,fmt/142,Waveform Audio (WAVEFORMATEX),[?],0
INCOMPLETE,fmt/143,Waveform Audio (WAVEFORMATEXTENSIBLE),[?],0
INCOMPLETE,fmt/144,Acrobat PDF/X - Portable Document Format - Exchange 1:1999,[?],0
INCOMPLETE,fmt/145,Acrobat PDF/X - Portable Document Format - Exchange 1:2001,[?],0
INCOMPLETE,fmt/146,Acrobat PDF/X - Portable Document Format - Exchange 1a:2003,[?],0
INCOMPLETE,fmt/147,Acrobat PDF/X - Portable Document Format - Exchange 2:2003,[?],0
INCOMPLETE,fmt/148,Acrobat PDF/X - Portable Document Format - Exchange 3:2003,[?],0
INCOMPLETE,fmt/149,JTIP (JPEG Tiled Image Pyramid),[?],0
STUB,fmt/15,Acrobat PDF 1.1 - Portable Document Format,1.1,5
INCOMPLETE,fmt/150,JPEG-LS,[?],0
INCOMPLETE,fmt/151,JPX (JPEG 2000 Extended),[?],0
INCOMPLETE,fmt/152,Digital Negative Format (DNG),1.1,0
INCOMPLETE,fmt/153,Tagged Image File Format for Image Technology (TIFF/IT),[?],0
INCOMPLETE,fmt/154,Tagged Image File Format for Electronic Still Picture Imaging (TIFF/EP),[?],0
INCOMPLETE,fmt/155,GeoTIFF,[?],0
INCOMPLETE,fmt/156,Tagged Image File Format for Internet Fax (TIFF-FX),[?],0
INCOMPLETE,fmt/157,Acrobat PDF/X - Portable Document Format - Exchange 1a:2001,[?],0
INCOMPLETE,fmt/158,Acrobat PDF/X - Portable Document Format - Exchange 3:2002,[?],0
INCOMPLETE,fmt/159,EBCDIC-US,[?],0
STUB,fmt/16,Acrobat PDF 1.2 - Portable Document Format,1.2,5
INCOMPLETE,fmt/160,Device Independent File Format,[?],0
ADEQUATE,fmt/161,SIARD (Software-Independent Archiving of Relational Databases),2.0,7
INCOMPLETE,fmt/162,Microsoft Multiplan,4.0,0
INCOMPLETE,fmt/163,Microsoft Works Word Processor for DOS,1.05,0
INCOMPLETE,fmt/164,Microsoft Works Word Processor for DOS,1.12,0
INCOMPLETE,fmt/165,Microsoft Works Word Processor for DOS,2.0,0
INCOMPLETE,fmt/166,Microsoft Works Spreadsheet for DOS,1.05,0
INCOMPLETE,fmt/167,Microsoft Works Spreadsheet for DOS,1.12,0
INCOMPLETE,fmt/168,Microsoft Works Spreadsheet for DOS,2.0,0
INCOMPLETE,fmt/169,Microsoft Works Database for DOS,1.05,0
ADEQUATE,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,7
INCOMPLETE,fmt/170,Microsoft Works Database for DOS,1.12,0
INCOMPLETE,fmt/171,Microsoft Works Database for DOS,2.0,0
INCOMPLETE,fmt/172,Microsoft Excel for Macintosh,3.0,0
INCOMPLETE,fmt/173,Microsoft Excel for Macintosh,4.0,0
INCOMPLETE,fmt/174,Microsoft Excel for Macintosh,98,0
INCOMPLETE,fmt/175,Microsoft Excel for Macintosh,2001,0
INCOMPLETE,fmt/176,Microsoft Excel for Macintosh,2002,0
INCOMPLETE,fmt/177,Microsoft Excel for Macintosh,2004,0
INCOMPLETE,fmt/178,Microsoft Excel for Macintosh,v.X,0
INCOMPLETE,fmt/179,Microsoft PowerPoint for Macintosh,4.0,0
ADEQUATE,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,7
INCOMPLETE,fmt/180,Microsoft PowerPoint for Macintosh,98,0
INCOMPLETE,fmt/181,Microsoft PowerPoint for Macintosh,2001,0
INCOMPLETE,fmt/182,Microsoft PowerPoint for Macintosh,v.X,0
STUB,fmt/183,PrimeOCR,3.0,5
STUB,fmt/184,PrimeOCR,3.8,5
STUB,fmt/185,Prime OCR,3.9,5
STUB,fmt/186,PrimeOCR,4.0,5
STUB,fmt/187,PrimeOCR,4.2,5
STUB,fmt/188,PrimeOCR,4.3,5
STUB,fmt/189,Microsoft Office Open XML,2007,5
